Employe,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrMa0ger,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
WAYNE YU,40,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,2027,Male,1,Healthcare Representative,Single,22130,1,Y,17,8,0,21,4,20,4,9,3,3,4,3,3
LORI LAMMA,21,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,2028,Female,1,Research Scientist,Single,26100,1,Y,11,8,1,2,3,2,2,2,4,2,4,2,3
BRADFORD LUM,39,No,Non-Travel,Research & Development,6,3,Life Sciences,1,2029,Male,1,Laboratory Technician,Single,28510,9,Y,15,8,0,9,2,5,0,3,3,2,2,3,3
EDWARD MARTINEZ,36,No,Non-Travel,Research & Development,1,3,Medical,1,2030,Male,3,Sales Representative,Single,34520,2,Y,13,8,3,18,4,11,0,9,1,4,3,4,3
GEORGE CER0,31,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,2031,Male,1,Sales Executive,Married,52580,0,Y,14,8,3,3,5,2,2,2,3,4,3,3,3
FELICIA SMITH,28,No,Travel_Rarely,Sales,2,4,Marketing,1,2032,Male,1,Sales Executive,Married,93550,0,Y,11,8,0,6,4,5,0,4,1,2,1,3,3
MEGAN FRANZEN,35,No,Travel_Frequently,Research & Development,9,2,Other,1,2033,Female,1,Manufacturing Director,Divorced,104960,1,Y,13,8,1,5,2,5,0,2,4,4,3,3,3
MIRANDA SURJADI,49,No,Travel_Rarely,Sales,2,2,Medical,1,2034,Female,1,Sales Executive,Married,63800,6,Y,23,8,1,22,1,9,2,3,4,2,3,2,4
LAWRENCE PRICE,34,No,Travel_Frequently,Sales,9,1,Technical Degree,1,2035,Male,2,Sales Executive,Single,26570,2,Y,13,8,1,5,3,3,0,2,4,3,2,2,3
HANSJUERG ENZ,29,No,Travel_Frequently,Research & Development,1,4,Medical,1,2036,Male,3,Research Scientist,Divorced,27160,0,Y,18,8,0,8,2,7,1,1,4,2,2,1,3
CLIFFORD JAVA,42,No,Travel_Rarely,Sales,21,2,Life Sciences,1,2037,Female,1,Healthcare Representative,Single,22010,4,Y,12,8,1,16,3,1,0,0,2,4,3,4,3
MICHAEL DUNCAN,29,No,Travel_Rarely,Sales,4,2,Other,1,2038,Female,2,Healthcare Representative,Married,65400,1,Y,22,8,0,10,2,10,1,2,2,4,2,1,4
PATRICK LOUIE,38,No,Travel_Rarely,Research & Development,1,3,Medical,1,2039,Female,1,Human Resources,Married,38160,1,Y,13,8,2,7,2,7,5,0,3,3,4,2,3
YOON LEE,28,No,Travel_Frequently,Sales,6,4,Life Sciences,1,2040,Male,1,Ma0ger,Divorced,52530,1,Y,15,8,0,3,2,3,0,2,3,3,3,3,3
JOSEPH ENGELMAN,18,Yes,Non-Travel,Research & Development,2,4,Medical,1,2041,Male,3,Laboratory Technician,Single,109650,1,Y,18,8,0,0,5,0,0,0,3,3,3,4,3
MARTIN GARAY,33,Yes,Travel_Rarely,Research & Development,3,2,Life Sciences,1,2042,Male,1,Sales Executive,Single,49360,0,Y,14,8,0,6,2,5,0,3,1,1,3,2,3
DIANE KHUU,41,No,Travel_Rarely,Research & Development,4,2,Medical,1,2043,Male,2,Research Scientist,Married,25430,3,Y,12,8,0,6,3,1,0,0,2,4,3,3,3
KYRA DELANEY,31,Yes,Travel_Frequently,Sales,10,3,Technical Degree,1,2044,Female,1,Research Director,Married,53040,1,Y,17,8,0,2,3,2,2,2,3,3,2,4,3
JOHN EVANS,37,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,2045,Male,3,Manufacturing Director,Divorced,166590,7,Y,16,8,1,9,2,6,1,3,3,4,3,3,3
STEVEN GRIFFIN,27,No,Travel_Rarely,Research & Development,6,2,Medical,1,2046,Female,1,Healthcare Representative,Married,42600,1,Y,11,8,2,4,2,4,2,2,4,3,3,3,3
JAY DOWKE,34,No,Travel_Rarely,Sales,1,1,Marketing,1,2047,Female,2,Laboratory Technician,Married,24760,1,Y,19,8,0,6,2,6,1,3,2,3,2,3,3
MURRAY BOND,35,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,2048,Female,3,Laboratory Technician,Single,31020,1,Y,13,8,1,6,3,5,1,4,3,3,1,2,3
MARILOU GAN,29,Yes,Travel_Rarely,Research & Development,6,3,Life Sciences,1,2049,Male,1,Sales Executive,Married,22440,1,Y,12,8,3,11,5,11,3,10,4,1,1,1,3
BRIAN COLLINS,40,No,Travel_Frequently,Research & Development,2,4,Medical,1,2050,Male,4,Human Resources,Single,75960,9,Y,11,8,0,20,0,18,2,13,2,3,2,1,3
GREGORY NEAL,42,Yes,Travel_Frequently,Sales,2,4,Life Sciences,1,2051,Male,1,Laboratory Technician,Single,22850,0,Y,16,8,0,22,3,21,13,14,3,1,2,1,3
SIDNEY LAWS,42,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,2052,Male,4,Laboratory Technician,Single,30340,7,Y,21,8,1,9,3,6,1,5,2,1,4,2,4
MICHAEL MCCARRON,35,No,Travel_Rarely,Research & Development,5,3,Medical,1,2053,Male,1,Healthcare Representative,Married,57150,6,Y,24,8,2,10,0,8,1,7,4,3,3,3,4
KEITH PASQUINZO,24,No,Travel_Rarely,Sales,7,4,Life Sciences,1,2054,Female,1,Laboratory Technician,Single,25760,8,Y,17,8,3,6,3,4,1,2,4,2,3,3,3
JEFFERY CHIN,28,Yes,Travel_Rarely,Research & Development,15,4,Life Sciences,1,2055,Male,2,Sales Executive,Married,41970,1,Y,13,8,0,1,3,1,0,0,3,4,2,1,3
JUSTIN APOSTOLI,26,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,2056,Male,2,Sales Representative,Married,143360,1,Y,21,8,1,8,3,8,0,7,1,4,3,3,4
BRIAN DANKER,30,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,2057,Female,1,Manufacturing Director,Married,34480,1,Y,11,8,0,10,3,10,1,4,3,3,3,3,3
MATTHEW LEE,40,No,Travel_Frequently,Research & Development,26,4,Life Sciences,1,2058,Male,2,Research Scientist,Married,194060,3,Y,20,8,3,16,2,1,0,0,3,4,1,3,4
JEFFREY ENG,35,No,Travel_Rarely,Research & Development,18,5,Medical,1,2059,Female,2,Research Scientist,Divorced,65380,2,Y,16,8,1,15,3,7,6,4,3,2,4,3,3
SAMSON CHAN,34,No,Travel_Frequently,Research & Development,6,2,Life Sciences,1,2060,Male,1,Research Director,Single,43060,0,Y,11,8,0,14,2,13,4,9,4,1,3,3,3
STEVE FIGUEROA,35,No,Travel_Frequently,Research & Development,3,3,Medical,1,2061,Female,2,Laboratory Technician,Married,22580,1,Y,11,8,1,2,2,2,2,2,4,4,4,3,3
DO0LD ENG,43,Yes,Travel_Rarely,Sales,5,3,Marketing,1,2062,Female,3,Research Scientist,Single,45220,8,Y,15,8,1,7,3,4,1,3,1,3,2,3,3
BENNY CHIN,32,No,Non-Travel,Research & Development,11,2,Other,1,2063,Female,2,Research Scientist,Divorced,44870,1,Y,11,8,0,1,5,1,0,0,3,1,3,2,3
LOK SHUN CHAN,56,No,Travel_Rarely,Research & Development,3,2,Other,1,2064,Male,2,Healthcare Representative,Divorced,44490,4,Y,15,8,0,28,3,5,4,2,4,1,3,1,3
KATHLEEN FLA0GAN,29,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,2065,Male,1,Laboratory Technician,Married,22180,1,Y,24,8,1,10,1,10,0,8,2,4,3,3,4
BRITT ELMORE,19,No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,2066,Male,2,Laboratory Technician,Single,191970,1,Y,12,8,0,1,2,1,0,0,3,1,3,3,3
SEAN PERDOMO,45,No,Travel_Rarely,Research & Development,22,3,Life Sciences,1,2067,Female,2,Sales Representative,Married,132120,4,Y,13,8,0,7,4,3,0,2,1,3,2,3,3
JOHN MARIAN,37,No,Travel_Rarely,Research & Development,14,4,Life Sciences,1,2068,Male,3,Research Scientist,Married,65770,1,Y,13,8,0,14,1,14,3,11,4,4,2,1,3
KIM LEWIS,20,No,Travel_Rarely,Research & Development,6,3,Medical,1,2069,Male,5,Research Director,Single,83920,1,Y,17,8,0,2,5,2,1,2,1,3,2,3,3
JULIE TSE,44,Yes,Travel_Rarely,Human Resources,6,2,Human Resources,1,2070,Male,3,Sales Executive,Single,45580,1,Y,13,8,1,6,2,6,0,2,3,3,3,1,3
JOSEPH VIGLIZZO,53,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,2071,Male,1,Research Director,Divorced,40310,3,Y,12,8,1,26,3,7,4,7,4,3,3,2,3
MARILOU DARIO,29,No,Travel_Rarely,Research & Development,23,3,Medical,1,2072,Male,1,Sales Executive,Married,79690,0,Y,14,8,0,6,3,5,1,3,2,4,2,3,3
DAVID HARDY,22,Yes,Travel_Frequently,Research & Development,22,4,Medical,1,2073,Male,1,Sales Representative,Married,26540,0,Y,24,8,0,1,5,0,0,0,3,4,3,2,4
CHARLES LIMBERT,46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,2074,Male,2,Research Scientist,Married,165550,8,Y,14,8,2,28,4,26,15,9,3,1,3,3,3
CHRISTOPHER BONN,44,No,Non-Travel,Research & Development,20,3,Life Sciences,1,2075,Male,1,Sales Representative,Single,45560,2,Y,13,8,0,6,4,0,0,0,4,3,3,3,3
GIL INTENGAN,33,No,Travel_Rarely,Research & Development,28,4,Life Sciences,1,2076,Female,1,Ma0ger,Married,60910,1,Y,15,8,0,5,6,5,1,4,2,3,3,1,3
ANTHONY RIVERA,41,Yes,Non-Travel,Research & Development,12,3,Life Sciences,1,2077,Male,2,Sales Representative,Divorced,195660,6,Y,16,8,0,5,2,1,0,0,1,1,1,4,3
SCOTT DOO0N,30,No,Travel_Rarely,Sales,20,3,Marketing,1,2078,Male,3,Sales Executive,Divorced,48100,8,Y,18,8,0,8,3,4,0,3,3,1,3,2,3
JOSEPH MALLOY,40,No,Travel_Frequently,Sales,9,3,Medical,1,2079,Male,1,Manufacturing Director,Married,45230,5,Y,16,8,1,5,5,0,0,0,2,2,3,4,3
HOLLY PERA,50,No,Travel_Frequently,Research & Development,25,4,Life Sciences,1,2080,Female,2,Healthcare Representative,Married,32020,2,Y,24,8,1,32,2,2,2,2,4,1,0,3,4
HOWARD DONG,28,No,Travel_Rarely,Research & Development,6,3,Technical Degree,1,2081,Male,2,Research Scientist,Married,23510,1,Y,16,8,0,6,4,6,3,3,4,1,3,3,3
0TALEE ERNSTROM,46,No,Travel_Rarely,Research & Development,8,4,Other,1,2082,Male,3,Ma0ger,Married,17020,5,Y,21,8,0,25,2,4,0,3,4,2,3,3,4
ALVIN WONG,35,No,Travel_Rarely,Sales,4,4,Marketing,1,2083,Male,1,Laboratory Technician,Married,180410,3,Y,20,8,1,15,3,7,1,7,3,1,3,2,4
SHAUGHN RYAN,24,Yes,Travel_Rarely,Human Resources,28,4,Human Resources,1,2084,Male,3,Manufacturing Director,Married,28860,1,Y,19,8,1,1,5,1,0,0,4,2,1,3,3
BILL LIANG,33,No,Travel_Frequently,Research & Development,9,2,Medical,1,2085,Female,1,Sales Executive,Married,20970,1,Y,14,8,2,10,5,10,0,1,2,3,2,2,3
CYNTHIA FAENZI,36,No,Travel_Rarely,Research & Development,9,2,Medical,1,2086,Male,2,Sales Executive,Divorced,119350,1,Y,11,8,3,7,6,7,1,7,3,3,3,4,3
LEWIS HAZZARD,30,No,Travel_Rarely,Sales,29,3,Marketing,1,2087,Male,1,Sales Executive,Divorced,25460,1,Y,14,8,1,10,2,10,8,9,3,3,2,3,3
BRIAN HOPKINS,44,No,Travel_Rarely,Research & Development,3,4,Medical,1,2088,Male,2,Research Scientist,Single,25640,1,Y,12,8,3,20,3,20,13,17,4,4,3,1,3
FABIAN BROWN,20,No,Travel_Rarely,Research & Development,18,4,Medical,1,2089,Male,1,Human Resources,Single,84120,1,Y,13,8,0,2,2,2,2,2,3,4,3,2,3
WALLACE WONG,46,No,Travel_Rarely,Sales,9,1,Medical,1,2090,Female,1,Sales Executive,Divorced,141180,2,Y,22,8,0,12,3,6,1,4,4,4,2,3,4
GLICERIA REYES,42,No,Non-Travel,Research & Development,5,4,Medical,1,2091,Male,5,Sales Executive,Married,170460,7,Y,11,8,0,10,3,4,0,3,4,1,4,2,3
MICHELLE JEAN,60,No,Travel_Rarely,Sales,2,2,Life Sciences,1,2092,Male,2,Sales Executive,Divorced,25640,0,Y,14,8,1,12,3,11,1,9,2,4,3,3,3
JOCELYN RAMOS,32,No,Travel_Frequently,Sales,10,3,Life Sciences,1,2093,Female,1,Sales Executive,Married,102660,1,Y,11,8,0,2,3,2,2,2,3,2,3,3,3
JESUSA ABUAN,32,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,2094,Female,2,Research Scientist,Single,50700,4,Y,12,8,1,10,6,8,0,7,4,3,3,3,3
TROY DRYSDALE,36,No,Travel_Rarely,Sales,3,2,Marketing,1,2095,Male,4,Healthcare Representative,Divorced,178610,2,Y,18,8,0,17,2,7,7,7,3,1,3,2,3
CHEONG YUEN,33,No,Travel_Rarely,Sales,26,2,Marketing,1,2096,Male,1,Research Scientist,Married,42300,0,Y,12,8,0,15,0,14,4,10,1,4,3,3,3
KAREN HOLBROOK,40,No,Travel_Rarely,Research & Development,1,3,Medical,1,2097,Female,2,Research Scientist,Divorced,37800,7,Y,12,8,0,7,2,5,1,3,2,2,4,1,3
SCARLET GORDON,25,No,Travel_Rarely,Research & Development,6,2,Medical,1,2098,Female,1,Laboratory Technician,Single,27680,0,Y,22,8,1,5,0,4,1,1,3,4,3,3,4
WILLIAM PON,30,No,Travel_Rarely,Sales,9,3,Marketing,1,2099,Female,1,Research Scientist,Married,90710,0,Y,19,8,1,12,2,11,5,7,4,2,3,2,3
AMY LOGAN,42,No,Travel_Frequently,Human Resources,8,2,Medical,1,2100,Male,1,Sales Executive,Married,106480,3,Y,13,8,1,20,1,1,0,0,1,1,3,3,3
ANSON WU,35,No,Non-Travel,Research & Development,1,1,Life Sciences,1,2101,Male,2,Sales Executive,Married,136100,4,Y,22,8,2,16,4,13,4,12,3,4,2,2,4
RYAN JONES,27,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,2102,Male,3,Manufacturing Director,Married,34080,1,Y,24,8,0,9,2,9,6,8,1,1,2,3,4
LINDA MEDEIROS,54,No,Travel_Frequently,Research & Development,9,2,Medical,1,2103,Male,2,Sales Representative,Divorced,29830,7,Y,14,8,1,33,2,5,1,4,4,3,1,2,3
ANTONIA MALGIERI,44,No,Travel_Rarely,Human Resources,4,4,Life Sciences,1,2104,Male,5,Laboratory Technician,Married,76320,1,Y,21,8,0,10,3,10,7,7,1,4,3,3,4
FLORENCE TOY,19,Yes,Non-Travel,Sales,2,2,Other,1,2105,Male,3,Healthcare Representative,Single,98240,1,Y,18,8,0,1,2,1,0,0,1,2,4,3,3
ANTHONY GOMES,29,No,Travel_Rarely,Research & Development,19,4,Life Sciences,1,2106,Male,1,Manufacturing Director,Divorced,99500,1,Y,20,8,0,3,3,3,1,2,1,4,3,3,4
MARTA MCGOVERN,54,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,2107,Male,2,Sales Executive,Married,20930,3,Y,19,8,0,36,2,10,0,9,4,4,3,3,3
PING YAN,31,No,Travel_Rarely,Research & Development,21,3,Life Sciences,1,2108,Male,2,Laboratory Technician,Married,99800,1,Y,12,8,0,6,1,6,0,1,3,1,2,3,3
RAYMOND BIRMINGHAM,31,No,Travel_Rarely,Sales,24,1,Marketing,1,2109,Female,1,Sales Executive,Single,38940,1,Y,12,8,0,10,3,10,1,8,3,1,3,4,3
ROBERT CLARK,59,No,Travel_Rarely,Research & Development,3,4,Technical Degree,1,2110,Male,1,Research Scientist,Single,40510,5,Y,16,8,3,13,3,6,0,5,3,4,3,3,3
RAQUEL NICDAO-ICBAN,43,No,Travel_Rarely,Research & Development,11,2,Life Sciences,1,2111,Male,3,Laboratory Technician,Married,168350,3,Y,17,8,1,25,3,8,0,7,3,4,3,3,3
PAUL WONG,49,No,Travel_Rarely,Sales,14,4,Life Sciences,1,2112,Male,2,Research Scientist,Married,62300,2,Y,14,8,0,23,2,1,0,0,1,3,4,2,3
KENNETH PAYNE,36,No,Travel_Frequently,Sales,5,2,Marketing,1,2113,Female,1,Laboratory Technician,Married,47170,1,Y,19,8,1,12,3,11,0,7,3,2,2,3,3
BRUCE KREJCIK,48,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,2114,Female,2,Laboratory Technician,Single,132370,5,Y,13,8,1,7,2,1,0,0,4,2,2,4,3
LAMAR TONEY,27,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,2115,Male,2,Laboratory Technician,Divorced,37550,1,Y,19,8,0,5,2,5,0,3,1,3,3,3,3
JOSEPH DEVATY,29,No,Travel_Rarely,Sales,17,4,Medical,1,2116,Male,1,Laboratory Technician,Divorced,65820,1,Y,19,8,1,6,3,6,1,0,3,4,3,3,3
FANTA SESAY,48,No,Travel_Rarely,Sales,1,1,Marketing,1,2117,Male,2,Manufacturing Director,Single,74060,6,Y,14,8,2,25,2,1,0,0,4,4,4,3,3
CHRISTOPHER NOCON,29,No,Travel_Rarely,Research & Development,3,3,Technical Degree,1,2118,Female,2,Healthcare Representative,Divorced,48050,3,Y,16,8,1,9,2,7,1,7,4,4,2,3,3
MICHAEL RODRIGUEZ,34,No,Travel_Rarely,Sales,9,4,Medical,1,2119,Female,2,Laboratory Technician,Married,27410,0,Y,15,8,1,2,3,1,0,0,3,3,2,3,3
ANTHONY DAMATO,44,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,2120,Female,1,Laboratory Technician,Married,42620,7,Y,18,8,0,26,2,22,3,10,2,2,3,3,3
MICHAEL GUAJARDO,33,No,Travel_Rarely,Research & Development,8,2,Life Sciences,1,2121,Female,2,Research Scientist,Divorced,161840,0,Y,13,8,1,10,2,9,0,8,4,3,3,4,3
JOHN TEAHAN,19,No,Travel_Rarely,Sales,2,4,Marketing,1,2122,Male,3,Laboratory Technician,Single,115570,1,Y,22,8,0,1,0,1,0,1,2,4,3,3,4
BLESILDA HUYPUNGCO,23,No,Travel_Rarely,Sales,2,3,Medical,1,2123,Male,3,Laboratory Technician,Married,18780,1,Y,13,8,1,1,2,1,0,1,4,3,3,3,3
GREGORY KANE,25,Yes,Travel_Frequently,Research & Development,1,1,Life Sciences,1,2124,Male,1,Manufacturing Director,Single,109320,1,Y,11,8,1,1,3,1,1,0,3,4,3,3,3
ANNETTE BURNS,26,No,Travel_Rarely,Human Resources,9,3,Life Sciences,1,2125,Male,2,Research Scientist,Single,68110,1,Y,11,8,1,8,4,8,2,2,3,4,2,3,3
JERRY THREET,45,Yes,Travel_Rarely,Human Resources,12,3,Human Resources,1,2126,Male,2,Laboratory Technician,Single,43060,2,Y,11,8,2,26,3,24,1,11,1,2,3,3,3
ASIT PANWALA,55,No,Non-Travel,Research & Development,27,3,Life Sciences,1,2127,Female,2,Ma0ger,Divorced,48590,1,Y,24,8,1,34,3,33,15,0,4,2,3,4,4
ALBERTO DUARTE,21,Yes,Travel_Frequently,Research & Development,20,2,Medical,1,2128,Female,4,Research Scientist,Single,53370,1,Y,14,8,1,2,2,2,2,2,1,3,1,3,3
SARAH WILNER,46,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,2129,Male,1,Manufacturing Director,Married,23400,2,Y,13,8,1,26,2,11,0,8,4,2,3,1,3
CHARLES KWONG,34,No,Travel_Rarely,Sales,13,4,Medical,1,2130,Male,3,Sales Representative,Single,74910,0,Y,14,8,1,4,3,3,0,2,3,1,3,2,3
DEBORAH GIZDICH,51,No,Travel_Frequently,Research & Development,14,3,Life Sciences,1,2131,Male,2,Research Director,Divorced,105270,4,Y,14,8,0,31,3,29,11,10,4,2,2,3,3
REMA BREALL,59,No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,2132,Male,2,Research Scientist,Single,165950,6,Y,21,8,1,25,2,9,5,4,4,4,2,3,4
PAUL MANGIOLA,34,No,Travel_Frequently,Sales,14,4,Medical,1,2133,Female,3,Research Scientist,Divorced,88340,4,Y,13,8,1,15,1,11,5,10,3,2,4,3,3
CONNIE BRANDON,28,No,Travel_Frequently,Research & Development,2,3,Other,1,2134,Female,1,Ma0ger,Single,55770,0,Y,19,8,0,5,3,4,0,2,4,3,2,3,3
RAJESH PAREKH,44,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,2135,Male,2,Research Scientist,Divorced,47070,1,Y,17,8,0,26,4,25,14,13,3,1,2,1,3
PHILIP KATZENBERGER,34,No,Travel_Frequently,Sales,1,3,Life Sciences,1,2136,Male,2,Sales Executive,Married,24000,4,Y,18,8,1,14,3,10,1,8,3,2,4,3,3
JOSEY RUSSELL,35,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,2137,Male,4,Healthcare Representative,Married,98240,0,Y,19,8,0,4,2,3,2,2,3,3,3,3,3
NHON-TUAN TRAN,42,No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,2138,Female,1,Ma0ger,Married,64470,6,Y,13,8,0,18,3,1,0,0,2,2,3,3,3
RO0LD PEREZ,43,No,Travel_Rarely,Research & Development,7,2,Medical,1,2139,Female,1,Laboratory Technician,Single,195020,3,Y,18,8,2,23,3,21,15,17,4,4,4,4,3
TAKAFUMI IDETA,36,No,Travel_Rarely,Research & Development,2,4,Medical,1,2140,Male,1,Healthcare Representative,Single,27250,9,Y,21,8,1,18,4,16,5,12,3,2,3,2,4
LAVERNE MALIGA,44,Yes,Travel_Rarely,Research & Development,21,4,Life Sciences,1,2141,Female,2,Laboratory Technician,Married,62720,1,Y,19,8,1,10,3,10,0,5,1,4,3,3,3
GERALD LYONS,28,No,Travel_Frequently,Research & Development,2,3,Life Sciences,1,2142,Female,2,Sales Representative,Married,21270,1,Y,14,8,0,2,3,2,2,2,4,4,3,3,3
KEVIN MANNIX,51,No,Travel_Frequently,Sales,21,4,Medical,1,2143,Male,2,Research Scientist,Single,182000,0,Y,17,8,0,8,3,7,7,7,2,3,0,3,3
KULVINDAR SINGH,30,No,Non-Travel,Research & Development,2,4,Other,1,2144,Male,1,Research Scientist,Single,20960,7,Y,11,8,3,10,2,8,1,7,3,3,3,3,3
HONG NGUYEN,29,Yes,Travel_Rarely,Research & Development,29,4,Technical Degree,1,2145,Female,1,Sales Representative,Divorced,28860,3,Y,13,8,0,10,4,7,7,7,2,3,3,3,3
MERCEDITAS SARZABA,28,No,Travel_Rarely,Sales,1,4,Life Sciences,1,2146,Female,2,Sales Representative,Single,20330,2,Y,15,8,1,5,5,3,1,2,4,1,2,3,3
DERMOT DORGAN,25,No,Travel_Rarely,Research & Development,18,2,Life Sciences,1,2147,Male,1,Research Scientist,Single,36220,1,Y,25,8,0,2,0,2,2,1,4,2,2,3,4
PAUL HATHAWAY,32,No,Travel_Rarely,Research & Development,10,4,Other,1,2148,Female,1,Sales Executive,Married,42330,1,Y,11,8,0,10,5,10,0,8,3,4,4,3,3
SCOTT GAINES,45,No,Travel_Frequently,Research & Development,19,3,Medical,1,2149,Male,3,Laboratory Technician,Single,36810,3,Y,17,8,1,22,2,0,0,0,0,2,3,3,3
EDWARD ZELTSER,39,No,Travel_Rarely,Sales,29,1,Marketing,1,2150,Female,1,Laboratory Technician,Divorced,54600,6,Y,13,8,2,21,3,19,15,2,3,2,3,3,3
JOHN CHOI,58,No,Travel_Rarely,Research & Development,27,3,Other,1,2151,Male,2,Laboratory Technician,Divorced,21870,1,Y,18,8,1,2,1,2,2,2,1,3,3,1,3
DARRYL BREWSTER,32,Yes,Travel_Rarely,Research & Development,5,3,Technical Degree,1,2152,Female,1,Sales Executive,Married,96020,1,Y,13,8,1,10,3,10,1,1,4,3,3,3,3
JUSTIN SCHORR,39,Yes,Travel_Rarely,Research & Development,18,2,Life Sciences,1,2153,Male,2,Laboratory Technician,Single,28360,0,Y,20,8,0,6,3,5,0,3,3,1,3,2,4
GORDON YEE,30,No,Travel_Rarely,Sales,9,1,Marketing,1,2154,Male,4,Research Director,Married,40890,0,Y,18,8,0,10,2,9,6,7,1,4,3,4,3
JOSEPH TOOMEY,36,No,Travel_Rarely,Sales,1,3,Marketing,1,2155,Male,2,Sales Executive,Married,166270,3,Y,12,8,0,10,5,7,1,7,4,3,3,2,3
ROBERT TOTAH,46,No,Travel_Rarely,Sales,4,3,Medical,1,2156,Male,1,Research Scientist,Single,26190,6,Y,12,8,1,10,3,7,5,7,4,1,4,2,3
LEONETTE MORRISON,28,No,Non-Travel,Research & Development,1,3,Medical,1,2157,Male,5,Sales Executive,Married,56790,0,Y,13,8,0,10,2,9,7,5,3,4,3,2,3
BRIAN MCCARTHY,50,No,Travel_Rarely,Research & Development,20,2,Medical,1,2158,Female,5,Laboratory Technician,Married,154020,4,Y,21,8,0,25,3,3,1,2,4,1,3,2,4
GERALD NEWBECK,40,Yes,Travel_Rarely,Sales,8,1,Other,1,2159,Male,1,Laboratory Technician,Single,59850,2,Y,13,8,3,9,1,5,1,0,4,2,3,2,3
GREG TRUMPLER,52,Yes,Travel_Rarely,Research & Development,3,2,Technical Degree,1,2160,Male,3,Laboratory Technician,Single,25790,9,Y,19,8,1,10,1,8,7,7,2,2,2,3,3
JOH0 PECOT,30,No,Travel_Rarely,Research & Development,6,4,Medical,1,2161,Female,1,Sales Executive,Married,30410,1,Y,11,8,1,9,2,9,0,8,2,1,3,2,3
KENNETH MCCARTHY,39,No,Travel_Rarely,Research & Development,26,1,Medical,1,2162,Male,2,Healthcare Representative,Single,34470,0,Y,14,8,0,9,5,8,1,7,1,3,3,3,3
ANKA-YUEN CHAN,31,No,Non-Travel,Research & Development,1,2,Medical,1,2163,Male,1,Sales Executive,Divorced,195130,1,Y,12,8,1,10,1,10,9,6,4,3,2,2,3
ERIC BALMY,41,No,Non-Travel,Sales,6,3,Life Sciences,1,2164,Female,1,Research Director,Single,27730,1,Y,11,8,0,19,3,19,11,9,3,2,3,3,3
KINNIE JAMERSON JR,31,Yes,Travel_Frequently,Research & Development,3,1,Life Sciences,1,2165,Male,1,Sales Executive,Single,71040,1,Y,14,8,1,3,3,3,2,2,4,2,4,3,3
ERIC BOTELHO,44,Yes,Travel_Rarely,Sales,5,3,Life Sciences,1,2166,Male,1,Laboratory Technician,Married,63220,4,Y,11,8,1,10,2,3,1,2,1,1,4,3,3
NICOLE BRUCKERT,42,No,Non-Travel,Research & Development,4,3,Life Sciences,1,2167,Male,2,Laboratory Technician,Married,20830,0,Y,12,8,2,21,3,20,2,10,3,3,2,2,3
HARRY HIGGINS,55,No,Travel_Rarely,Sales,11,3,Technical Degree,1,2168,Male,2,Manufacturing Director,Married,83810,4,Y,15,8,1,23,3,19,9,11,4,3,3,3,3
MICHAEL SPILLANE,56,No,Travel_Rarely,Sales,3,2,Medical,1,2169,Female,3,Manufacturing Director,Single,26910,6,Y,16,8,1,36,6,7,7,7,4,2,3,3,3
MAGDALE0 SARMIENTO,40,No,Non-Travel,Research & Development,1,1,Life Sciences,1,2170,Male,1,Laboratory Technician,Divorced,42860,9,Y,15,8,0,6,6,4,0,0,3,3,3,3,3
HECTOR JUSINO JR,34,No,Travel_Rarely,Research & Development,3,2,Technical Degree,1,2171,Male,2,Research Director,Divorced,26590,0,Y,24,8,3,10,2,9,1,6,4,4,2,3,4
JOHN WHITE,40,No,Travel_Rarely,Sales,4,3,Medical,1,2172,Male,2,Sales Executive,Single,94340,1,Y,13,8,1,9,3,9,8,8,3,4,3,2,3
